iter	RMSE
620	0.1790686534
621	0.1790627248
622	0.1789845113
623	0.1787393938
624	0.1783369753
625	0.1781661844
626	0.1779642056
627	0.1779303151
628	0.1777074886
629	0.1776103087
630	0.1774959733
631	0.1774172406
632	0.1772947574
633	0.1768727438
634	0.1767480522
635	0.1766380892
636	0.1762822019
637	0.176136196
638	0.1760420609
639	0.1759647212
640	0.1756632026
641	0.1755258894
642	0.1753654224
643	0.1753093153
644	0.175212937
645	0.174889199
646	0.1748366006
647	0.1748293247
648	0.1746111682
649	0.1741331219
650	0.1737655763
651	0.1736219064
652	0.1735529738
653	0.1731334508
654	0.1728253767
655	0.1726647083
656	0.1722752514
657	0.1721868901
658	0.1717449401
659	0.171364225
660	0.1710381537
661	0.1709215544
662	0.1708148073
663	0.1704494607
664	0.1704231571
665	0.170356208
666	0.1702096213
667	0.1699606473
668	0.1698378473
669	0.1696818664
670	0.1693479302
671	0.1690459934
672	0.1689386025
673	0.1685750531
674	0.1684262305
675	0.1683722195
676	0.1683076547
677	0.1682111701
678	0.1680217599
679	0.1677973563
680	0.1673706981
681	0.1670604599
682	0.1669730374
683	0.1668847724
684	0.1667374222
685	0.1664439805
686	0.1662270579
687	0.1661913249
688	0.1660342322
689	0.1658339737
690	0.1656833457
691	0.1655905133
692	0.1652121064
693	0.1650209178
694	0.1649759338
695	0.1649086939
696	0.1647434822
697	0.1646362833
698	0.1645049534
699	0.1642724226
700	0.1640417218
701	0.1639525812
702	0.1636656372
703	0.1633199653
704	0.1630766972
705	0.1630047618
706	0.1628553775
707	0.162402252
708	0.1623547334
709	0.1621429503
710	0.1619176109
711	0.1618535786
712	0.1615164967
713	0.1611706358
714	0.1609272867
715	0.1606940563
716	0.1605789219
717	0.160336919
718	0.1602336727
719	0.1599968869
720	0.1598620108
721	0.1597354316
722	0.1593851245
723	0.1591814537
724	0.1590479496
725	0.1590024973
726	0.15874011
727	0.1585766144
728	0.1583969456
729	0.158308956
730	0.1579698212
731	0.1578511085
732	0.1576620015
733	0.1574520059
734	0.1573798455
735	0.1572048849
736	0.1568236444
737	0.1566425975
738	0.1565617333
739	0.1565424567
740	0.1564182251
741	0.1563079674
742	0.1560645528
743	0.1560291544
744	0.1559111619
745	0.1557390429
746	0.1556042573
747	0.155354186
748	0.1551794861
749	0.1550696972
750	0.1549745509
751	0.1547068149
752	0.1546112784
753	0.1545665662
754	0.1544368256
755	0.1541564528
756	0.1540674254
757	0.1537967803
758	0.1533952177
759	0.1533113584
760	0.1532899856
761	0.1530515429
762	0.1527833097
763	0.1525866324
764	0.1523999845
765	0.1521222295
766	0.1519013593
767	0.1516309018
768	0.1516274855
769	0.1514055105
770	0.1513731578
771	0.1513072957
772	0.1512772198
773	0.150832185
774	0.1504469141
775	0.1501887895
776	0.1500842838
777	0.1500162311
778	0.149925477
779	0.1498464889
780	0.1496986304
781	0.1494725005
782	0.1493311348
783	0.1491578054
784	0.1491416756
785	0.1489903077
786	0.1487820981
787	0.1485875676
788	0.1482761786
789	0.1482337539
790	0.1481814915
791	0.1479966248
792	0.1479631512
793	0.1478711743
794	0.1478215394
795	0.1476068257
796	0.1474791452
797	0.1472592725
798	0.1472204643
799	0.1470561681
800	0.1468706711
801	0.1467551714
802	0.1466978759
803	0.1466933173
804	0.1466875888
805	0.1464708849
806	0.1462004898
807	0.1461822997
808	0.1460935244
809	0.1459592389
810	0.1457511998
811	0.1455419998
812	0.1451991117
813	0.1451562678
814	0.1448789755
815	0.1445528775
816	0.1444963393
817	0.1442794848
818	0.1440288444
819	0.143978368
820	0.1437158266
821	0.1436111205
822	0.1435714059
823	0.1435356161
824	0.1433898229
825	0.1433311026
826	0.1432260722
827	0.1431247994
828	0.1431191957
829	0.1429850104
830	0.1427536413
831	0.1424685839
832	0.1424578345
833	0.1424141686
834	0.1422968143
835	0.1422627561
836	0.1420779058
837	0.1419837971
838	0.1418737257
839	0.1417934892
840	0.1415105956
841	0.1414787569
842	0.1413710152
843	0.1410801942
844	0.1410177309
845	0.1407772014
846	0.1406484608
847	0.140646117
848	0.1405524615
849	0.1405463307
850	0.1402771658
851	0.1401097481
852	0.139854778
853	0.1398073321
854	0.139747592
855	0.1395729311
856	0.1395682937
857	0.1393775927
858	0.1392582528
859	0.1390662416
860	0.1388052641
861	0.1387826778
862	0.1386784777
863	0.1385809471
864	0.1382597992
865	0.1381044807
866	0.1380482231
867	0.137973432
868	0.1378156919
869	0.1376356385
870	0.1374650442
871	0.1370951323
872	0.1368374503
873	0.1366205574
874	0.1365327675
875	0.1364151598
876	0.1362838967
877	0.1361828791
878	0.1360515684
879	0.1358652378
880	0.1356857901
881	0.1355754038
882	0.1353607063
883	0.1352060228
884	0.1351478383
885	0.1351132493
886	0.1350029122
887	0.1348366014
888	0.1348352292
889	0.1347113356
890	0.1346247388
891	0.1345144777
892	0.1342595481
893	0.1340419746
894	0.13377049
895	0.1336968911
896	0.1334724111
897	0.1334049759
898	0.1332264815
899	0.1330118144
900	0.1328263097
901	0.1327647961
902	0.132607957
903	0.1324496845
904	0.132447608
905	0.1321717374
906	0.13189077
907	0.1316281056
908	0.1314137328
909	0.1311639407
910	0.1309427837
911	0.130865166
912	0.1307408103
913	0.1305764541
914	0.1305152109
915	0.130433134
916	0.1303808517
917	0.1302520926
918	0.1300927403
919	0.129992537
920	0.1297116999
921	0.1295187084
922	0.129478878
923	0.1292258748
924	0.1291731806
925	0.1288972338
926	0.128781358
927	0.1285751902
928	0.1283781918
